"inst_id","type","name","department","address","city","state","zip"
"1","Academia","Islamic University of Gaza (IUG)",NULL,"Al-Shaheed Raja Street, Rimal","Gaza","Palestine","00972"
"2","Industry","Clinic",NULL,NULL,"Gaza","Palestine",NULL
